Requirement,Control,Obligation,Domain,Source Section
"Identify and document a lawful basis before processing any personal data.","Implement a documentation process to record the legal justification (Consent, Contract, Legal Obligation, or Legitimate Interests) for all data processing.","Mandatory","Data Privacy","2.1 Lawful Basis for Processing"
"The Data Protection Officer (DPO) must maintain a Record of Processing Activities (ROPA).","Create and maintain a ROPA log documenting the lawful basis and purpose for each processing activity in accordance with GDPR Article 30.","Mandatory","Data Privacy","2.1 Lawful Basis for Processing"
"Personal data must be retained only for as long as necessary and retention schedules must be enforced.","Implement and automate data retention and deletion schedules across all systems.","Mandatory","Data Privacy","2.2 Data Minimisation and Retention"
"Retention of Customer Personal Data for duration of contract plus 7 years.","Configure data lifecycle management policies to delete customer data 7 years post-contract termination.","Recommended","Data Privacy","Table 1: Recommended Data Retention Schedules"
"Retention of Security Logs & Audit Trails for a minimum of 12 months (rolling).","Configure log management systems (SIEM) to retain security and audit logs for at least 1 year.","Recommended","Security","Table 1: Recommended Data Retention Schedules"
"Respond to Data Subject Access Requests (DSAR) within 30 calendar days.","Establish a DSAR response workflow with automated tracking and alerts for the 30-day deadline.","Mandatory","Data Privacy","2.3 Data Subject Rights"
"All user accounts must be provisioned through the Identity and Access Management (IAM) system; shared accounts are prohibited.","Implement a centralized IAM system and disable all shared or generic credentials.","Mandatory","Security","3.1 Access Control"
"Enforce Multi-factor authentication (MFA) for remote access, privileged accounts, and systems holding sensitive data.","Deploy MFA across all VPNs, administrative interfaces, and sensitive databases.","Mandatory","Security","3.1 Access Control"
"Access rights must be reviewed quarterly and terminated accounts deactivated within 24 hours.","Conduct quarterly access certification reviews and integrate HR systems with IAM for automated offboarding.","Mandatory","Security","3.1 Access Control"
"Use TLS 1.2 or higher for all data transmitted over public or untrusted networks.","Configure web servers and network protocols to disable SSL, TLS 1.0, and TLS 1.1; enforce TLS 1.2+.","Mandatory","Security","3.2 Encryption Requirements"
"All devices storing personal data must use AES-256 full-disk encryption.","Deploy Endpoint Detection and Response (EDR) or MDM solutions to enforce AES-256 encryption on laptops and mobile devices.","Mandatory","Security","3.2 Encryption Requirements"
"Production databases containing personal data must implement Transparent Data Encryption (TDE).","Enable TDE on all SQL/NoSQL production database instances containing personal data.","Mandatory","Security","3.2 Encryption Requirements"
"Conduct automated vulnerability scans monthly and apply critical patches within 72 hours.","Schedule monthly vulnerability scanning and implement an emergency patching process for critical CVEs.","Mandatory","Security","3.3 Vulnerability Management"
"Perform annual penetration testing and remediate critical findings within 30 days.","Engage a third-party security firm for annual testing and track remediation through a risk register.","Mandatory","Security","3.3 Vulnerability Management"
"Conduct a Data Protection Impact Assessment (DPIA) before commencing high-risk processing.","Implement a pre-project DPIA workflow for new technologies, large-scale data processing, or profiling.","Mandatory","Risk Management","4.1 Data Protection Impact Assessments (DPIA)"
"A signed Data Processing Agreement (DPA) must be in place before sharing data with third parties.","Legal and Procurement must ensure GDPR-compliant DPAs are executed for all vendor contracts involving data.","Mandatory","Risk Management","4.2 Third-Party and Vendor Risk"
"Conduct an annual internal compliance audit covering privacy, security, and risk.","Schedule and execute an annual internal audit plan; produce reports within 30 days of completion.","Mandatory","Audit","5.1 Internal Audit Programme"
"Notify the supervisory authority of personal data breaches within 72 hours.","Integrate a breach notification timer and workflow into the Incident Response Plan.","Mandatory","Audit","5.2 Incident Reporting and Response"
"All employees must complete mandatory annual data protection and information security training.","Deploy an LMS-based training module and track completion to meet the 95% minimum target.","Mandatory","HR","6.4 All Employees"
"Track and report compliance KPIs monthly to the DPO and quarterly to the Board.","Establish a compliance dashboard to monitor DSAR response, patch speed, MFA adoption, and training rates.","Mandatory","Audit","5.3 Compliance Metrics and Reporting"